Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-10-15 09:30:00-04:00,422.17999267578125,422.4800109863281,420.6300048828125,420.8949890136719,1751761,0.0,0.0
2024-10-15 09:31:00-04:00,420.9599914550781,421.3599853515625,420.3500061035156,420.6000061035156,74161,0.0,0.0
2024-10-15 09:32:00-04:00,420.6400146484375,421.4338073730469,420.5450134277344,421.29998779296875,50360,0.0,0.0
2024-10-15 09:33:00-04:00,421.260009765625,421.6099853515625,420.9200134277344,421.1700134277344,42564,0.0,0.0
2024-10-15 09:34:00-04:00,421.1700134277344,421.57000732421875,421.0849914550781,421.5,58342,0.0,0.0
2024-10-15 09:35:00-04:00,421.55999755859375,421.9800109863281,421.489990234375,421.5,47876,0.0,0.0
2024-10-15 09:36:00-04:00,421.489990234375,421.6351013183594,420.90899658203125,420.9750061035156,72224,0.0,0.0
2024-10-15 09:37:00-04:00,420.9800109863281,420.9800109863281,420.4800109863281,420.4949951171875,34481,0.0,0.0
2024-10-15 09:38:00-04:00,420.4700012207031,420.5199890136719,420.2200012207031,420.2900085449219,28746,0.0,0.0
2024-10-15 09:39:00-04:00,420.2200012207031,420.2684020996094,419.9461975097656,420.1700134277344,62580,0.0,0.0
2024-10-15 09:40:00-04:00,420.1449890136719,420.25,419.8399963378906,419.95989990234375,43179,0.0,0.0
2024-10-15 09:41:00-04:00,419.8500061035156,420.2298889160156,419.840087890625,420.2049865722656,30933,0.0,0.0
2024-10-15 09:42:00-04:00,420.2049865722656,420.57000732421875,420.1199951171875,420.44000244140625,51801,0.0,0.0
2024-10-15 09:43:00-04:00,420.4800109863281,420.5799865722656,420.05999755859375,420.3799133300781,28893,0.0,0.0
2024-10-15 09:44:00-04:00,420.2818908691406,420.4800109863281,420.1400146484375,420.17999267578125,28984,0.0,0.0
2024-10-15 09:45:00-04:00,420.17999267578125,420.69000244140625,420.17999267578125,420.5899963378906,46061,0.0,0.0
2024-10-15 09:46:00-04:00,420.64910888671875,420.8800048828125,420.5299987792969,420.8800048828125,44374,0.0,0.0
2024-10-15 09:47:00-04:00,420.8800048828125,421.0299987792969,420.6300048828125,420.95001220703125,48185,0.0,0.0
2024-10-15 09:48:00-04:00,420.9649963378906,420.989990234375,420.7799987792969,420.9100036621094,29300,0.0,0.0
2024-10-15 09:49:00-04:00,420.9200134277344,420.94000244140625,420.55999755859375,420.71990966796875,32663,0.0,0.0
2024-10-15 09:50:00-04:00,420.6400146484375,420.6600036621094,419.93011474609375,420.1300048828125,54976,0.0,0.0
2024-10-15 09:51:00-04:00,420.1400146484375,420.82000732421875,420.1400146484375,420.7900085449219,39544,0.0,0.0
2024-10-15 09:52:00-04:00,420.79998779296875,420.8872985839844,420.5375061035156,420.8699951171875,30935,0.0,0.0
2024-10-15 09:53:00-04:00,420.8299865722656,420.8500061035156,420.68499755859375,420.79998779296875,32211,0.0,0.0
2024-10-15 09:54:00-04:00,420.7699890136719,421.19000244140625,420.6700134277344,421.1199951171875,48482,0.0,0.0
2024-10-15 09:55:00-04:00,421.1600036621094,421.489990234375,421.0456848144531,421.3699951171875,39077,0.0,0.0
2024-10-15 09:56:00-04:00,421.3799133300781,421.3800048828125,421.0450134277344,421.20001220703125,33902,0.0,0.0
2024-10-15 09:57:00-04:00,421.1499938964844,421.2699890136719,420.8949890136719,420.9549865722656,36437,0.0,0.0
2024-10-15 09:58:00-04:00,420.95001220703125,421.0299987792969,420.75,420.8800048828125,53497,0.0,0.0
2024-10-15 09:59:00-04:00,420.8500061035156,420.8800048828125,420.5400085449219,420.57000732421875,48462,0.0,0.0
2024-10-15 10:00:00-04:00,420.5400085449219,420.7900085449219,420.5,420.7383117675781,39415,0.0,0.0
2024-10-15 10:01:00-04:00,420.7200012207031,420.7300109863281,420.3800048828125,420.4150085449219,62125,0.0,0.0
2024-10-15 10:02:00-04:00,420.389892578125,420.55010986328125,420.1499938964844,420.55010986328125,55505,0.0,0.0
2024-10-15 10:03:00-04:00,420.5799865722656,420.80999755859375,420.54998779296875,420.7900085449219,19461,0.0,0.0
2024-10-15 10:04:00-04:00,420.760009765625,420.760009765625,420.5799865722656,420.5799865722656,26235,0.0,0.0
2024-10-15 10:05:00-04:00,420.5899963378906,420.7300109863281,420.54998779296875,420.7300109863281,18691,0.0,0.0
2024-10-15 10:06:00-04:00,420.6700134277344,420.7300109863281,420.5400085449219,420.6700134277344,22535,0.0,0.0
2024-10-15 10:07:00-04:00,420.6700134277344,420.69000244140625,420.4100036621094,420.59991455078125,78269,0.0,0.0
2024-10-15 10:08:00-04:00,420.56610107421875,420.7099914550781,420.510009765625,420.6400146484375,25959,0.0,0.0
2024-10-15 10:09:00-04:00,420.6400146484375,420.6400146484375,420.3599853515625,420.42999267578125,51129,0.0,0.0
2024-10-15 10:10:00-04:00,420.3900146484375,420.4461975097656,420.0400085449219,420.1969909667969,36529,0.0,0.0
